cluster,observer_path,observer_label_values,observer_type,observer_value_class,observer_sample,observer_n_files,viewpoint_path,viewpoint_short_label,viewpoint_long_label,viewpoint_type,viewpoint_value_class,viewpoint_sample,viewpoint_n_files,notes
biometry,fetuses[].ratios[].value,HC/AC,float,decimal,1.105|1.062|0.979|1.027,4/5,,,,,,,,
biometry,,,,,,,OBX AbdomenFetus.AbdominalWallAppearance,Abdom. wall,Abdominal wall,str (ST),coded_text,normal,6/7,
biometry,,,,,,,OBX AbdomenFetus.InferiorVenaCavaDiameterZscoreMethod,IVC Zscore by,Inferior vena cava diameter Zscore calculated by,str (ST),coded_text,Schneider,2/7,
biometry,,,,,,,OBX AbdomenFetus.VP_AbdominalCircumference_Author,,,str (ST),coded_text,Hadlock,6/7,
biometry,,,,,,,OBX AbdomenFetus.VP_AbdominalCircumference_DevRatio,,,float|int (NM),decimal|percentile,-1.1 (-1.1%)|5 (+5.0%)|-3.1 (-3.1%)|-1 (-1.0%)|-9.5 (-9.5%)|-7.1 (-7.1%),6/7,
biometry,,,,,,,OBX AbdomenFetus.VP_AbdominalCircumference_Deviation,,,float|int (NM),decimal,-0.2 (-0.2SD)|0.5 (+0.5SD)|-0.5 (-0.5SD)|-1.7 (-1.7SD)|-1 (-1.0SD),6/7,
biometry,,,,,,,OBX AbdomenFetus.VP_AbdominalCircumference_GA,,,int (NM),weeks_days,169 (24w 1d)|139 (19w 6d)|166 (23w 5d)|225 (32w 1d)|184 (26w 2d)|159 (22w 5d),6/7,
biometry,,,,,,,OBX AbdomenFetus.VP_AbdominalCircumference_Percentile,,,int (NM),percentile,43 (43%)|70 (70%)|32 (32%)|42 (42%)|4 (4%)|15 (15%),6/7,
biometry,,,,,,,OBX EmbryonicStructuresFetus.VP_CrownRumpLength_Author,,,str (ST),coded_text,Hadlock,1/7,
biometry,,,,,,,OBX EmbryonicStructuresFetus.VP_CrownRumpLength_DevRatio,,,float (NM),percentile,-1.4 (-1.4%),1/7,
biometry,,,,,,,OBX EmbryonicStructuresFetus.VP_CrownRumpLength_Deviation,,,float (NM),decimal,-0.1 (-0.1SD),1/7,
biometry,,,,,,,OBX EmbryonicStructuresFetus.VP_CrownRumpLength_GA,,,int (NM),weeks_days,93 (13w 2d),1/7,
biometry,,,,,,,OBX EmbryonicStructuresFetus.VP_CrownRumpLength_Percentile,,,int (NM),percentile,45 (45%),1/7,
biometry,,,,,,,OBX ExtremitiesFetus.FibulaUndefinedLength,Fibula,Fibula length,float (NM),decimal,17.3,1/7,
biometry,,,,,,,OBX ExtremitiesFetus.LowerExtremitiesAppearance,Legs,Legs appearance,str (ST),coded_text,suboptimal|normal,6/7,
biometry,,,,,,,OBX ExtremitiesFetus.TibiaUndefinedLength,Tibia,Tibia length,float (NM),decimal,17.3,1/7,
biometry,,,,,,,OBX ExtremitiesFetus.UpperExtremitiesAppearance,Arms,Arms appearance,str (ST),coded_text,suboptimal|normal,7/7,
biometry,,,,,,,OBX ExtremitiesFetus.VP_FemurUndefinedLength_Author,,,str (ST),coded_text,Hadlock,6/7,
biometry,,,,,,,OBX ExtremitiesFetus.VP_FemurUndefinedLength_DevRatio,,,float (NM),decimal|percentile,-6.2 (-6.2%)|-15.8 (-15.8%)|0.7 (+0.7%)|-0.7 (-0.7%)|-10.6 (-10.6%)|-9.4 (-9.4%),6/7,
